Thu Apr 25 16:16:03 2024    output.prof

         5965240 function calls (5067064 primitive calls) in 68.623 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2111    0.303    0.000   34.069    0.016 I:/Programming/CleanRL/cleanrl/cleanrl/ppo_continuous_action.py:215(get_action_and_value)
     4223    0.279    0.000   29.575    0.007 I:/Programming/CleanRL/cleanrl/cleanrl/ppo_continuous_action.py:180(get_causal_rep_from_img)
361145/12793    1.186    0.000   27.379    0.002 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\nn\modules\module.py:1507(_wrapped_call_impl)
361145/12793    1.159    0.000   27.338    0.002 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\nn\modules\module.py:1513(_call_impl)
     8129    0.828    0.000   26.449    0.003 I:\Programming\CleanRL\cleanrl\cleanrl\my_files\new_active_icitris.py:221(get_causal_rep)
46254/12982    1.406    0.000   25.508    0.002 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\nn\modules\container.py:215(forward)
     8192    0.480    0.000   24.591    0.003 I:\Programming\CleanRL\cleanrl\cleanrl\my_files\encoder_decoder.py:50(forward)
     2048    0.012    0.000   22.076    0.011 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\vector\vector_env.py:165(step)
     2048    0.055    0.000   22.035    0.011 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\vector\sync_vector_env.py:135(step_wait)
     2048    0.014    0.000   20.870    0.010 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\core.py:498(step)
     2048    0.061    0.000   20.744    0.010 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\wrappers\normalize.py:131(step)
     2048    0.012    0.000   20.367    0.010 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\core.py:534(step)
     2159    3.158    0.001   20.244    0.009 I:\Programming\CleanRL\cleanrl\cleanrl\my_files\custom_env_wrappers.py:190(observation)
6144/2048    0.055    0.000   20.229    0.010 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\core.py:465(step)
     2112    0.028    0.000   15.160    0.007 I:/Programming/CleanRL/cleanrl/cleanrl/ppo_continuous_action.py:211(get_value)
87747/48659   11.462    0.000   14.460    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     8534    0.023    0.000   11.336    0.001 <__array_function__ internals>:177(concatenate)
       63    0.001    0.000    8.079    0.128 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\_tensor.py:463(backward)
       63    0.001    0.000    8.078    0.128 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\autograd\__init__.py:164(backward)
       63    8.074    0.128    8.074    0.128 {method 'run_backward' of 'torch._C._EngineBase' objects}
    66166    1.136    0.000    7.038    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\nn\modules\batchnorm.py:141(forward)
    66166    0.332    0.000    6.895    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\nn\modules\conv.py:459(forward)
    66166    0.108    0.000    6.476    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\nn\modules\conv.py:451(_conv_forward)
    66166    6.368    0.000    6.368    0.000 {built-in method torch.conv2d}
    66166    0.308    0.000    3.895    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\nn\functional.py:2451(batch_norm)
    66166    3.305    0.000    3.305    0.000 {built-in method torch.batch_norm}
    38316    0.160    0.000    3.016    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\nn\modules\linear.py:115(forward)
    38316    2.807    0.000    2.807    0.000 {built-in method torch._C._nn.linear}
     2160    0.007    0.000    2.788    0.001 I:\Programming\CleanRL\cleanrl\cleanrl\my_files\custom_env_wrappers.py:253(_render)
6480/2160    0.008    0.000    2.780    0.001 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\core.py:416(render)
     2160    0.006    0.000    2.771    0.001 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\wrappers\order_enforcing.py:63(render)
     2160    0.005    0.000    2.765    0.001 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\wrappers\env_checker.py:59(render)
     2160    0.007    0.000    2.760    0.001 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\envs\mujoco\mujoco_env.py:378(render)
     2160    0.023    0.000    2.753    0.001 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\envs\mujoco\mujoco_rendering.py:629(render)
